id,CYCLE,GOV_ORG_val,GOV_ORG_code,MAIN_CATEGORY_val,MAIN_CATEGORY_code,OPEN_DATE,OVERALL_TOTAL_NUMBER,SMALL_AREA,STATISTICS_NAME,STATISTICS_NAME_SPEC_TABULATION_CATEGORY,STATISTICS_NAME_SPEC_TABULATION_SUB_CATEGORY1,STAT_NAME_val,STAT_NAME_code,SUB_CATEGORY_val,SUB_CATEGORY_code,SURVEY_DATE,TITLE_val,TITLE_no,TITLE_SPEC_TABLE_NAME,UPDATED_DATE
0003215840,-,総務省,00200,人口・世帯,02,2018-04-13,816,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,年齢（各歳），男女別人口及び人口性比－総人口，日本人人口,001,年齢（各歳），男女別人口及び人口性比－総人口，日本人人口,2018-04-14
0003215841,-,総務省,00200,人口・世帯,02,2018-04-13,2106,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,年齢（５歳階級），男女，月別人口－総人口，日本人人口,002,年齢（５歳階級），男女，月別人口－総人口，日本人人口,2018-04-14
0003215842,-,総務省,00200,人口・世帯,02,2018-04-13,810,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,年齢（５歳階級），男女別人口及び割合－総人口,003,年齢（５歳階級），男女別人口及び割合－総人口,2018-04-14
0003215843,-,総務省,00200,人口・世帯,02,2018-04-13,384,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,都道府県，男女別人口及び人口性比－総人口，日本人人口,004,都道府県，男女別人口及び人口性比－総人口，日本人人口,2018-04-14
0003215844,-,総務省,00200,人口・世帯,02,2018-04-13,1440,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,都道府県，男女別人口－総人口，日本人人口,005,都道府県，男女別人口－総人口，日本人人口,2018-04-12
0003215845,-,総務省,00200,人口・世帯,02,2018-04-13,240,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,都道府県別人口の割合－総人口,006,都道府県別人口の割合－総人口,2018-04-12
0003215846,-,総務省,00200,人口・世帯,02,2018-04-13,240,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,都道府県別人口増減率－総人口,007,都道府県別人口増減率－総人口,2018-04-14
0003215847,-,総務省,00200,人口・世帯,02,2018-04-13,240,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,都道府県別自然増減率－総人口,008,都道府県別自然増減率－総人口,2018-04-14
0003215848,-,総務省,00200,人口・世帯,02,2018-04-13,240,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,都道府県別社会増減率－総人口,009,都道府県別社会増減率－総人口,2018-04-14
0003215849,-,総務省,00200,人口・世帯,02,2018-04-13,5472,0,人口推計 平成29年10月1日現在人口推計,人口推計,平成29年10月1日現在人口推計,人口推計,00200524,人口,01,201710,都道府県，年齢（5歳階級），男女別人口－総人口，日本人人口,010,都道府県，年齢（5歳階級），男女別人口－総人口，日本人人口,2018-04-14
